ID,APOYO_ALIMENTOS ,SEXO ,AÑO ACTUAL,AÑO,EDAD,ESTUDIOS ,C.P 
89,1,M,14/07/2022,1964,58,PRIMARIA ,96410
318,0,M,14/07/2022,1997,25,PREPARATORIA ,96510
787,1,F,14/07/2022,1972,50,SECUNDARIA ,96430
319,1,M,14/07/2022,1957,65,PRIMARIA ,96410
391,0,F,14/07/2022,1967,55,PREPARATORIA ,96510
576,1,F,14/07/2022,1958,64,PRIMARIA,96400
582,1,F,14/07/2022,1956,66,PRIMARIA,96400
580,1,F,14/07/2022,1950,72,PRIMARIA,96400
676,1,F,14/07/2022,1955,67,SECUNDARIA ,96400
649,0,F,14/07/2022,1979,43,PREPARATORIA ,96400
687,1,F,14/07/2022,1950,72,SIN ESCOLARIDAD,96400
761,1,M,14/07/2022,1952,70,PRIMARIA ,96400
1016,1,F,14/07/2022,1963,59,PRIMARIA ,96400
1087,1,F,14/07/2022,1946,76,SIN ESCOLARIDAD,96430
1312,1,F,14/07/2022,1962,60,PRIMARIA ,96400
1313,1,F,14/07/2022,1954,68,PRIMARIA ,96400
1369,0,M,14/07/2022,1965,57,UNIVERSIDAD,96400
1386,0,F,14/07/2022,28 AÑOS,28,PREPARATORIA ,96510
550,1,F,14/07/2022,71 AÑOS,71,PRIMARIA,96400
261,0,M,14/07/2022,1989,33,PREPARATORIA,96510
281,1,M,14/07/2022,1944,78,PREPARATORIA ,96440
354,0,F,14/07/2022,2000,22,PREPARATORIA,96400
522,1,F,14/07/2022,1955,67,SECUNDARIA,96420
799,0,M,14/07/2022,2000,22,PREPARATORIA,96400
1086,1,F,14/07/2022,1946,76,SECUNDARIA,96440
1193,0,F,14/07/2022,1963,59,UNIVERSIDAD ,96400
1297,1,F,14/07/2022,1973,49,PRIMARIA,96420
1388,0,M,14/07/2022,1984,38,PREPARATORIA,96380
2,1,M,14/07/2022,1963,59,SECUNDARIA,96480
131,1,F,14/07/2022,1967,55,SIN ESCOLARIDAD,96458
351,1,F,14/07/2022,1971,51,PRIMARIA,96490
577,0,M,14/07/2022,1952,35,PREPARATORIA ,96380
802,1,F,14/07/2022,1967,55,SECUDARIA ,96470
851,1,M,14/07/2022,1992,30,SECUNDARIA,96458
910,1,F,14/07/2022,1955,67,SIN ESCOLARIDAD ,96490
1054,0,F,14/07/2022,1980,42,UNIVERSIDAD,96500
1126,1,M,14/07/2022,1958,64,SECUNDARIA,96490
65,0,F,14/07/2022,1991,31,PREPARATORIA ,96500
96,1,F,14/07/2022,1948,74,SECUNDARIA,96490
204,0,F,14/07/2022,1983,39,SECUNDARIA,96500
492,1,F,14/07/2022,1969,53,PRIMARIA ,96490
493,1,F,14/07/2022,1973,49,PRIMARIA ,96490
494,1,F,14/07/2022,1962,60,SECUNDARIA,96490
496,1,F,14/07/2022,1966,56,PRIMARIA ,96490
497,1,F,14/07/2022,1972,50,PRIMARIA ,96490
510,1,F,14/07/2022,1982,40,PRIMARIA ,96490
511,1,F,14/07/2022,1965,57,SECUNDARIA,96458
528,1,F,14/07/2022,1971,51,SECUNDARIA,96490
533,0,F,14/07/2022,1982,40,SECUNDARIA,96538
571,1,F,14/07/2022,1962,60,SECUNDARIA,96490
868,0,F,14/07/2022,1973,49,LICENCIATURA,96558
902,0,F,14/07/2022,1989,33,SECUNDARIA,96558
909,1,F,14/07/2022,1990,32,PRIMARIA ,96490
921,0,F,14/07/2022,1985,37,SECUNDARIA,96510
934,1,F,14/07/2022,1967,55,SECUNDARIA,96490
